Htno,Subcode,Subname,Grade,Credits
20L31A1940,1005201212,Data Structures Lab,B,1.5
20L31A1940,1019201210,IT Workshop,A,1.5
20L31A1940,1000201121,Constitution of India,CP,-
20L31A1941,1000201102,Technical English Communication,B,2
20L31A1941,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1941,1002201202,Network Analysis,F,0
20L31A1941,1005201203,Data Structures,D,3
20L31A1941,1019201200,Digital Logic Design Principles,F,0
20L31A1941,1000201110,Technical English Communication Lab,A,1.5
20L31A1941,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1941,1005201212,Data Structures Lab,C,1.5
20L31A1941,1019201210,IT Workshop,B,1.5
20L31A1941,1000201121,Constitution of India,CP,-
20L31A1942,1000201102,Technical English Communication,A,2
Htno,Subcode,Subname,Grade,Credits
20L31A1942,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1942,1002201202,Network Analysis,F,0
20L31A1942,1005201203,Data Structures,D,3
20L31A1942,1019201200,Digital Logic Design Principles,D,3
20L31A1942,1000201110,Technical English Communication Lab,O,1.5
20L31A1942,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1942,1005201212,Data Structures Lab,C,1.5
20L31A1942,1019201210,IT Workshop,C,1.5
20L31A1942,1000201121,Constitution of India,CP,-
20L31A1943,1000201102,Technical English Communication,B,2
20L31A1943,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1943,1002201202,Network Analysis,D,3
20L31A1943,1005201203,Data Structures,C,3
20L31A1943,1019201200,Digital Logic Design Principles,D,3
20L31A1943,1000201110,Technical English Communication Lab,A,1.5
20L31A1943,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1943,1005201212,Data Structures Lab,C,1.5
20L31A1943,1019201210,IT Workshop,B,1.5
20L31A1943,1000201121,Constitution of India,CP,-
20L31A1944,1000201102,Technical English Communication,B,2
20L31A1944,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1944,1002201202,Network Analysis,C,3
20L31A1944,1005201203,Data Structures,C,3
20L31A1944,1019201200,Digital Logic Design Principles,B,3
20L31A1944,1000201110,Technical English Communication Lab,A,1.5
20L31A1944,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1944,1005201212,Data Structures Lab,C,1.5
20L31A1944,1019201210,IT Workshop,A,1.5
20L31A1944,1000201121,Constitution of India,CP,-
20L31A1945,1000201102,Technical English Communication,B,2
20L31A1945,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1945,1002201202,Network Analysis,F,0
20L31A1945,1005201203,Data Structures,D,3
20L31A1945,1019201200,Digital Logic Design Principles,F,0
20L31A1945,1000201110,Technical English Communication Lab,C,1.5
20L31A1945,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1945,1005201212,Data Structures Lab,C,1.5
20L31A1945,1019201210,IT Workshop,B,1.5
20L31A1945,1000201121,Constitution of India,CP,-
20L31A1946,1000201102,Technical English Communication,A,2
20L31A1946,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1946,1002201202,Network Analysis,D,3
20L31A1946,1005201203,Data Structures,C,3
20L31A1946,1019201200,Digital Logic Design Principles,C,3
20L31A1946,1000201110,Technical English Communication Lab,O,1.5
20L31A1946,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1946,1005201212,Data Structures Lab,B,1.5
20L31A1946,1019201210,IT Workshop,B,1.5
20L31A1946,1000201121,Constitution of India,CP,-
20L31A1947,1000201102,Technical English Communication,B,2
20L31A1947,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1947,1002201202,Network Analysis,C,3
Htno,Subcode,Subname,Grade,Credits
20L31A1947,1005201203,Data Structures,B,3
20L31A1947,1019201200,Digital Logic Design Principles,C,3
20L31A1947,1000201110,Technical English Communication Lab,A,1.5
20L31A1947,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1947,1005201212,Data Structures Lab,B,1.5
20L31A1947,1019201210,IT Workshop,A,1.5
20L31A1947,1000201121,Constitution of India,CP,-
20L31A1948,1000201102,Technical English Communication,C,2
20L31A1948,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1948,1002201202,Network Analysis,F,0
20L31A1948,1005201203,Data Structures,D,3
20L31A1948,1019201200,Digital Logic Design Principles,F,0
20L31A1948,1000201110,Technical English Communication Lab,B,1.5
20L31A1948,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1948,1005201212,Data Structures Lab,C,1.5
20L31A1948,1019201210,IT Workshop,C,1.5
20L31A1948,1000201121,Constitution of India,CP,-
20L31A1949,1000201102,Technical English Communication,A,2
20L31A1949,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1949,1002201202,Network Analysis,B,3
